ID;Scope;Kategorie;Spezifikation 1;Spezifikation 2;Spezifikation 3;Zusatzname;Kommentar;Eingang;Ausgang;Quelle;Faktor;Monatliche Eingaben;Wert-Jan (monatlich);Wert Feb (monatlich);Wert Mar (monatlich);Wert Apr (monatlich);Wert May (monatlich);Wert Jun (monatlich);Wert Jul (monatlich);Wert Aug (monatlich);Wert Sep (monatlich);Wert Oct (monatlich);Wert Nov (monatlich);Wert Dec (monatlich);Überliegende Berechnung (ID);Projekt
l5jnn8ugftljojz;3;Chemische Grundstoffe und Produkte;n-Butanol;;;;;kg;kg;EEW 2023;3,26;0;0;0;0;0;0;0;0;0;0;0;0;0;;
0uvpw6o7nqovzdq;3;Chemische Grundstoffe und Produkte;N,N-Dimethylmethanamin;;; NMe3;;kg;kg;EEW 2023;2,37;0;0;0;0;0;0;0;0;0;0;0;0;0;;
os4favsb0gsue8l;1;Raumwärme;Nahwärme;;;;;kWh;kg;EEW 2023;0,28;0;0;0;0;0;0;0;0;0;0;0;0;0;;
c088gmg5sx7djj2;2;Bezug von Wärme;Nahwärme;;;;;kWh;kg;EEW 2023;0,28;0;0;0;0;0;0;0;0;0;0;0;0;0;;
oglwrnn1xe9vnir;2;Bezug von Dampf;Nahwärme;Dampf;;;;kWh;kg;Individuell;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
nuat5e1biztkylk;3;Chemische Grundstoffe und Produkte;Naphtha;;;;;kg;kg;EEW 2023;0,37;0;0;0;0;0;0;0;0;0;0;0;0;0;;
3j10alarp1fyq1z;3;Chemische Grundstoffe und Produkte;Naphthen;;; C6H12;;kg;kg;EEW 2023;2,49;0;0;0;0;0;0;0;0;0;0;0;0;0;;
8f0w955395exut5;3;Chemische Grundstoffe und Produkte;Natriumcarbonat;;; Na2CO3;;kg;kg;Gemis 5.1;1,147;0;0;0;0;0;0;0;0;0;0;0;0;0;;
qt9j1ib5hsv92qb;3;Chemische Grundstoffe und Produkte;Natriumcarbonat;;; Na2CO3;;kg;kg;EEW 2023;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;;
f73o769yqbgxlmw;3;Chemische Grundstoffe und Produkte;Natriumchlorid;;;;;kg;kg;Gemis 5.1;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;;
pq76iw374xwd4pv;3;Chemische Grundstoffe und Produkte;Natriumhydroxid;;;NaOH;;kg;kg;EEW 2023;1,28;0;0;0;0;0;0;0;0;0;0;0;0;0;;
qso1ctqtl23x3qo;3;Chemische Grundstoffe und Produkte;Natriumlauge;;;;0.5;kg;kg;Gemis 5.1;0,533;0;0;0;0;0;0;0;0;0;0;0;0;0;;
iluftolswhanam6;3;Chemische Grundstoffe und Produkte;Natronlauge;;;NaOH;;kg;kg;EEW 2023;1,28;0;0;0;0;0;0;0;0;0;0;0;0;0;;
qp0rkzljnw1xc33;3;Mineralien und Baustoffe;Natronwasserglas;;;;;kg;kg;EEW 2023;0,77;0;0;0;0;0;0;0;0;0;0;0;0;0;;
